역명,TOTAL,USER
신평역,"6,603,127 ",18041.3306
하단역,"11,752,765 ",32111.37978
당리역,"4,646,831 ",12696.25956
사하역,"3,178,956 ",8685.672131
괴정역,"7,998,119 ",21852.78415
대티역,"3,155,030 ",8620.300546
서대신역,"2,149,109 ",5871.882514
동대신역,"4,496,011 ",12284.18306
토성역,"7,183,827 ",19627.94262
자갈치역,"15,856,009 ",43322.42896
남포역,"17,715,244 ",48402.30601
중앙역,"7,658,941 ",20926.06831
부산역,"16,477,986 ",45021.81967
초량역,"4,509,829 ",12321.93716
부산진역,"6,270,677 ",17132.99727
좌천역,"2,738,583 ",7482.467213
범일역,"13,187,248 ",36030.73224
범내골역,"6,977,908 ",19065.3224
서면역,"30,941,352 ",84539.21311
부전역,"12,999,124 ",35516.73224
양정역,"10,905,835 ",29797.36339
시청역,"10,116,402 ",27640.44262
연산역,"16,079,297 ",43932.50546
교대역,"8,395,250 ",22937.84153
동래역,"15,141,313 ",41369.70765
명륜역,"8,022,755 ",21920.09563
온천장역,"12,434,146 ",33973.0765
부산대역,"13,515,459 ",36927.48361
장전역,"8,330,411 ",22760.68579
구서역,"7,412,735 ",20253.37432
두실역,"5,909,257 ",16145.51093
남산역,"5,115,057 ",13975.56557
범어사역,"6,629,929 ",18114.56011
노포역,"12,504,558 ",34165.45902
장산역,"12,275,191 ",33538.77322
중동역,"4,450,898 ",12160.9235
해운대역,"10,395,745 ",28403.67486
동백역,"5,364,113 ",14656.04645
시립미술관역,"4,906,863 ",13406.72951
센텀시티역,"16,237,582 ",44364.97814
민락역,"2,050,570 ",5602.650273
수영역,"10,368,707 ",28329.80055
광안역,"7,944,549 ",21706.41803
금련산역,"4,175,374 ",11408.12568
남천역,"5,169,456 ",14124.19672
경성부경대역,"14,375,074 ",39276.15847
대연역,"6,868,766 ",18767.12022
못골역,"3,467,871 ",9475.057377
지게골역,"2,414,125 ",6595.969945
문현역,"3,641,402 ",9949.185792
국제금융센터·부산은행역,"3,199,953 ",8743.040984
전포역,"4,349,658 ",11884.31148
서면역,"21,567,720 ",58928.19672
부암역,"3,908,381 ",10678.63661
가야역,"2,667,770 ",7288.989071
동의대역,"5,212,825 ",14242.69126
개금역,"5,977,264 ",16331.3224
냉정역,"4,982,210 ",13612.59563
주례역,"5,326,641 ",14553.66393
감전역,"2,791,013 ",7625.718579
사상역,"18,222,809 ",49789.09563
덕포역,"3,111,995 ",8502.718579
모덕역,"1,748,532 ",4777.409836
모라역,"3,335,496 ",9113.377049
구남역,"3,393,334 ",9271.404372
구명역,"2,728,865 ",7455.915301
덕천역,"5,290,179 ",14454.04098
수정역,"4,593,141 ",12549.56557
화명역,"8,066,003 ",22038.25956
율리역,"3,514,814 ",9603.31694
동원역,"1,119,624 ",3059.081967
금곡역,"1,812,493 ",4952.166667
호포역,"1,005,540 ",2747.377049
증산역,"1,539,295 ",4205.724044
부산대양산캠퍼스역,"1,652,932 ",4516.20765
남양산역,"2,335,209 ",6380.352459
양산역,"5,121,534 ",13993.2623
망미역,"3,583,045 ",9789.740437
배산역,"3,425,988 ",9360.622951
물만골역,"2,464,819 ",6734.478142
연산역,"7,553,798 ",20638.79235
거제역,"3,531,913 ",9650.035519
종합운동장역,"4,568,656 ",12482.66667
사직역,"4,063,305 ",11101.92623
미남역,"6,648,056 ",18164.08743
만덕역,"3,985,651 ",10889.75683
남산정역,"3,721,312 ",10167.51913
숙등역,"2,927,472 ",7998.557377
덕천역,"9,215,035 ",25177.69126
구포역,"3,095,476 ",8457.584699
강서구청역,"2,049,556 ",5599.879781
체육공원역,"691,916 ",1890.480874
대저역,"6,180,997 ",16887.96995
동래역,"1,825,484 ",4987.661202
수안역,"2,731,533 ",7463.204918
낙민역,"1,412,607 ",3859.581967
충렬사역,"2,735,764 ",7474.765027
명장역,"2,214,658 ",6050.978142
서동역,"1,748,739 ",4777.97541
금사역,"1,310,982 ",3581.918033
반여농산물시장역,"1,433,076 ",3915.508197
석대역,"102,258 ",279.3934426
영산대역,"2,611,715 ",7135.833333
동부산대학역,"2,288,510 ",6252.759563
고촌역,"526,933 ",1439.70765
안평역,"2,066,181 ",5645.303279
