station_nm,total,user
대곡,6531851,17846.58743
진천,5064721,13838.03552
월배,3204946,8756.68306
상인,9725158,26571.46995
월촌,3790724,10357.1694
송현,2983112,8150.579235
성당못,7660941,20931.53279
대명,3214435,8782.60929
안지랑,3486295,9525.396175
현충로,2812636,7684.797814
영대병원,4888339,13356.11749
교대,3366706,9198.650273
명덕1,3295551,9004.237705
반월당1,7638622,20870.55191
중앙로,15415681,42119.34699
대구역,7094641,19384.26503
칠성시장,3991304,10905.20219
신천,3649441,9971.150273
동대구역,10153528,27741.87978
큰고개,3140997,8581.959016
아양교,4222926,11538.04918
동촌,1483060,4052.076503
해안,2161871,5906.751366
방촌,2515702,6873.502732
용계,1583194,4325.666667
율하,3627159,9910.270492
신기,3027188,8271.005464
반야월,1819161,4970.385246
각산,3139599,8578.139344
안심,4869699,13305.18852
문양,2146343,5864.325137
다사,1662807,4543.188525
대실,4675896,12775.67213
강창,3426441,9361.860656
계명대,5953925,16267.55464
성서산업단지,4480425,12241.59836
이곡,3275697,8949.991803
용산,6766567,18487.88798
죽전,4459906,12185.53552
감삼,5559242,15189.18579
두류,6839276,18686.54645
내당,3545308,9686.63388
반고개,3387356,9255.071038
신남2,4341024,11860.72131
반월당2,18601962,50825.03279
경대병원,5020192,13716.37158
대구은행,5013117,13697.04098
범어,6020944,16450.66667
수성구청,3755138,10259.93989
만촌,3281293,8965.281421
담티,2553069,6975.598361
연호,513690,1403.52459
대공원,1135950,3103.688525
고산,1824861,4985.959016
신매,5315419,14523.00273
사월,3324015,9082.008197
정평,3181851,8693.581967
임당,2061111,5631.45082
영남대,7451498,20359.28415
칠곡경대병원,999147,2729.909836
학정,260350,711.3387978
팔거,3198475,8739.002732
동천,1445280,3948.852459
칠곡운암,2944448,8044.939891
구암,1831031,5002.81694
태전,1594828,4357.453552
매천,1551468,4238.983607
매천시장,617958,1688.409836
팔달,779467,2129.691257
공단,863019,2357.97541
만평,1543300,4216.666667
팔달시장,1462148,3994.939891
원대,1236748,3379.092896
북구청,2395060,6543.879781
달성공원,1070086,2923.73224
서문시장,6224995,17008.18306
신남3,1163302,3178.420765
남산,2211509,6042.374317
명덕3,2205275,6025.34153
건들바위,968784,2646.95082
대봉교,2409020,6582.021858
수성시장,1938529,5296.527322
수성구민운동장,1448591,3957.898907
어린이회관,971597,2654.636612
황금,2252051,6153.144809
수성못,1908696,5215.016393
지산,1781269,4866.855191
범물,2960731,8089.428962
용지,1643828,4491.333333
