"lon","lat"
128.7244,35.868029
128.548097,35.854337
128.4780687,35.853091
128.599639,35.855428
128.603393,35.863096
128.491969,35.851484
128.693151,35.842948
128.5534645,35.8921571
128.590381,35.85173
128.550419,35.925771
128.583371,35.856711
128.564662,35.860151
128.458297,35.864954
128.581991,35.874646
128.6535776,35.8547654
128.512584,35.809497
128.679992,35.842749
128.596213,35.87646
128.613918,35.859794
128.565482,35.839302
128.6062799,35.8549844
128.465617,35.857348
128.628476,35.879667
128.5566291,35.937755
128.65015,35.886159
128.5558608,35.8570894
128.644833,35.858927
128.5610035,35.8897976
128.543391,35.912743
128.545773,35.904473
128.5899982,35.8569426
128.437867,35.8641
128.573368,35.862402
128.713574,35.865982
128.5931875,35.8651335
128.670183,35.879702
128.6400593,35.8208258
128.630883,35.8588249
128.583249,35.884672
128.715636,35.836989
128.537878,35.818966
128.582254,35.869761
128.557418,35.837471
128.506475,35.851826
128.551756,35.831079
128.624864,35.852691
128.63056,35.858989
128.623212,35.831374
128.6159746,35.8543268
128.70169,35.866746
128.582292,35.8641864
128.704902,35.840887
128.617593,35.874627
128.639755,35.887162
128.733747,35.871217
128.573899,35.839243
128.624482,35.845223
128.670507,35.840376
128.75298,35.836364
128.588251,35.844269
128.68175,35.87623
128.528207,35.849047
128.64653,35.818285
128.574283,35.887878
128.530586,35.816276
128.5458331,35.823899
128.693037,35.869577
128.515947,35.850608
128.740894,35.834122
128.728663,35.83408
128.538827,35.850752
128.593993,35.870913
128.6319542,35.8251625
128.522591,35.813826
128.559925,35.958404
128.554583,35.931497
128.6045525,35.8760259
128.634715,35.885718
128.547507,35.919718
128.5582943,35.9441209
128.5466789,35.8977797
128.5680143,35.8887983
128.5591507,35.9515914
128.659866,35.883526
128.581388,35.84091
128.62381,35.8390772
